"Domicile_named_country","Year","source_rows","Applicants","source"
"All",2006,9,1504850,"data_filtered_2014_2024.xlsx"
"All",2007,9,1588935,"data_filtered_2014_2024.xlsx"
"All",2008,9,1747005,"data_filtered_2014_2024.xlsx"
"All",2009,9,1896435,"data_filtered_2014_2024.xlsx"
"All",2010,9,2071940,"data_filtered_2014_2024.xlsx"
"All",2011,9,2080295,"data_filtered_2014_2024.xlsx"
"All",2012,9,1945910,"data_filtered_2014_2024.xlsx"
"All",2013,9,2015775,"data_filtered_2014_2024.xlsx"
"All",2014,9,2084430,"data_filtered_2014_2024.xlsx"
"All",2015,9,2138990,"data_filtered_2014_2024.xlsx"
"All",2016,9,2141250,"data_filtered_2014_2024.xlsx"
"All",2017,9,2086815,"data_filtered_2014_2024.xlsx"
"All",2018,9,2075630,"data_filtered_2014_2024.xlsx"
"All",2019,9,2107405,"data_filtered_2014_2024.xlsx"
"All",2020,9,2168730,"data_filtered_2014_2024.xlsx"
"All",2021,9,2238365,"data_filtered_2014_2024.xlsx"
"All",2022,9,2285215,"data_filtered_2014_2024.xlsx"
"All",2023,9,2256080,"data_filtered_2014_2024.xlsx"
"All",2024,9,2256630,"data_filtered_2014_2024.xlsx"
"All",2016,8,1427500,"data_filtered.xlsx"
"All",2017,8,1391210,"data_filtered.xlsx"
"All",2018,8,1383755,"data_filtered.xlsx"
"All",2019,8,1404935,"data_filtered.xlsx"
"All",2020,8,1445825,"data_filtered.xlsx"
"All",2021,8,1492245,"data_filtered.xlsx"
"All",2022,8,1523475,"data_filtered.xlsx"
"All",2023,8,1504055,"data_filtered.xlsx"
"All",2024,8,1504420,"data_filtered.xlsx"
"All",2025,8,1519670,"data_filtered.xlsx"
