"Domicile_named_country","observed_years","minimum_applicants","complete_trajectory","meets_minimum_flow","eligible"
"Afghanistan",7,20,TRUE,FALSE,FALSE
"Albania",7,80,TRUE,FALSE,FALSE
"Algeria",7,40,TRUE,FALSE,FALSE
"Andorra",7,5,TRUE,FALSE,FALSE
"Angola",7,65,TRUE,FALSE,FALSE
"Antigua and Barbuda",7,10,TRUE,FALSE,FALSE
"Argentina",7,35,TRUE,FALSE,FALSE
"Armenia",7,40,TRUE,FALSE,FALSE
"Australia",7,575,TRUE,TRUE,TRUE
"Austria",7,550,TRUE,TRUE,TRUE
"Azerbaijan",7,135,TRUE,TRUE,TRUE
"Bahamas",7,45,TRUE,FALSE,FALSE
"Bahrain",7,395,TRUE,TRUE,TRUE
"Bangladesh",7,275,TRUE,TRUE,TRUE
"Barbados",7,70,TRUE,FALSE,FALSE
"Belarus",7,30,TRUE,FALSE,FALSE
"Belgium",7,1025,TRUE,TRUE,TRUE
"Belize",7,10,TRUE,FALSE,FALSE
"Benin",6,5,FALSE,FALSE,FALSE
"Bhutan",6,5,FALSE,FALSE,FALSE
"Bolivia",7,10,TRUE,FALSE,FALSE
"Bosnia and Herzegovina",7,20,TRUE,FALSE,FALSE
"Botswana",7,130,TRUE,TRUE,TRUE
"Brazil",7,265,TRUE,TRUE,TRUE
"Brunei Darussalam",7,335,TRUE,TRUE,TRUE
"Bulgaria",7,1935,TRUE,TRUE,TRUE
"Burkina Faso",5,5,FALSE,FALSE,FALSE
"Burma (Myanmar)",7,85,TRUE,FALSE,FALSE
"Burundi",7,5,TRUE,FALSE,FALSE
"Cambodia",7,25,TRUE,FALSE,FALSE
"Cameroon",7,55,TRUE,FALSE,FALSE
"Canada",7,2320,TRUE,TRUE,TRUE
"Cape Verde",4,5,FALSE,FALSE,FALSE
"Central African Republic",1,5,FALSE,FALSE,FALSE
"Chad",1,5,FALSE,FALSE,FALSE
"Chile",7,35,TRUE,FALSE,FALSE
"China",7,12085,TRUE,TRUE,TRUE
"Colombia",7,85,TRUE,FALSE,FALSE
"Congo",7,5,TRUE,FALSE,FALSE
"Congo (Democratic Republic)",7,20,TRUE,FALSE,FALSE
"Costa Rica",7,10,TRUE,FALSE,FALSE
"Croatia",7,160,TRUE,TRUE,TRUE
"Cuba",6,5,FALSE,FALSE,FALSE
"Cyprus (European Union)",7,2655,TRUE,TRUE,TRUE
"Czech Republic",7,610,TRUE,TRUE,TRUE
"Denmark",7,465,TRUE,TRUE,TRUE
"Djibouti",4,5,FALSE,FALSE,FALSE
"Dominica",7,10,TRUE,FALSE,FALSE
"Dominican Republic",7,10,TRUE,FALSE,FALSE
"East Timor (Timor-Leste)",2,5,FALSE,FALSE,FALSE
"Ecuador",7,60,TRUE,FALSE,FALSE
"Egypt",7,645,TRUE,TRUE,TRUE
"El Salvador",7,15,TRUE,FALSE,FALSE
"Equatorial Guinea",2,5,FALSE,FALSE,FALSE
"Eritrea",7,5,TRUE,FALSE,FALSE
"Estonia",7,395,TRUE,TRUE,TRUE
"Eswatini",7,10,TRUE,FALSE,FALSE
"Ethiopia",7,40,TRUE,FALSE,FALSE
"Fiji",6,5,FALSE,FALSE,FALSE
"Finland",7,730,TRUE,TRUE,TRUE
"France",7,4605,TRUE,TRUE,TRUE
"Gabon",7,5,TRUE,FALSE,FALSE
"Gambia",7,40,TRUE,FALSE,FALSE
"Georgia",7,45,TRUE,FALSE,FALSE
"Germany",7,3220,TRUE,TRUE,TRUE
"Ghana",7,285,TRUE,TRUE,TRUE
"Greece",7,2365,TRUE,TRUE,TRUE
"Grenada",7,10,TRUE,FALSE,FALSE
"Guatemala",7,15,TRUE,FALSE,FALSE
"Guinea",5,5,FALSE,FALSE,FALSE
"Guyana",7,10,TRUE,FALSE,FALSE
"Haiti",5,5,FALSE,FALSE,FALSE
"Honduras",7,5,TRUE,FALSE,FALSE
"Hungary",7,780,TRUE,TRUE,TRUE
"Iceland",7,60,TRUE,FALSE,FALSE
"India",7,4205,TRUE,TRUE,TRUE
"Indonesia",7,515,TRUE,TRUE,TRUE
"Iran, Islamic Republic of",7,240,TRUE,TRUE,TRUE
"Iraq",7,45,TRUE,FALSE,FALSE
"Ireland",7,4180,TRUE,TRUE,TRUE
"Israel",7,115,TRUE,TRUE,TRUE
"Italy",7,4075,TRUE,TRUE,TRUE
"Ivory Coast (Cote d'Ivoire)",7,15,TRUE,FALSE,FALSE
"Jamaica",7,75,TRUE,FALSE,FALSE
"Japan",7,475,TRUE,TRUE,TRUE
"Jordan",7,425,TRUE,TRUE,TRUE
"Kazakhstan",7,260,TRUE,TRUE,TRUE
"Kenya",7,705,TRUE,TRUE,TRUE
"Korea, Democratic People's Republic of",1,10,FALSE,FALSE,FALSE
"Korea, Republic of",7,1420,TRUE,TRUE,TRUE
"Kosovo",7,20,TRUE,FALSE,FALSE
"Kuwait",7,605,TRUE,TRUE,TRUE
"Kyrgyzstan",7,15,TRUE,FALSE,FALSE
"Lao PDR",7,10,TRUE,FALSE,FALSE
"Latvia",7,540,TRUE,TRUE,TRUE
"Lebanon",7,265,TRUE,TRUE,TRUE
"Lesotho",7,5,TRUE,FALSE,FALSE
"Liberia",6,5,FALSE,FALSE,FALSE
"Libya",7,30,TRUE,FALSE,FALSE
"Liechtenstein",7,5,TRUE,FALSE,FALSE
"Lithuania",7,1745,TRUE,TRUE,TRUE
"Luxembourg",7,415,TRUE,TRUE,TRUE
"Madagascar",7,15,TRUE,FALSE,FALSE
"Malawi",7,50,TRUE,FALSE,FALSE
"Malaysia",7,4010,TRUE,TRUE,TRUE
"Maldives",7,65,TRUE,FALSE,FALSE
"Mali",7,5,TRUE,FALSE,FALSE
"Malta",7,100,TRUE,TRUE,TRUE
"Mauritania",7,5,TRUE,FALSE,FALSE
"Mauritius",7,335,TRUE,TRUE,TRUE
"Mexico",7,165,TRUE,TRUE,TRUE
"Moldova",7,25,TRUE,FALSE,FALSE
"Monaco",7,60,TRUE,FALSE,FALSE
"Mongolia",7,45,TRUE,FALSE,FALSE
"Montenegro",7,15,TRUE,FALSE,FALSE
"Morocco",7,340,TRUE,TRUE,TRUE
"Mozambique",7,35,TRUE,FALSE,FALSE
"Namibia",7,45,TRUE,FALSE,FALSE
"Nepal",7,75,TRUE,FALSE,FALSE
"Netherlands",7,840,TRUE,TRUE,TRUE
"New Zealand",7,175,TRUE,TRUE,TRUE
"Nicaragua",6,5,FALSE,FALSE,FALSE
"Niger",6,5,FALSE,FALSE,FALSE
"Nigeria",7,1660,TRUE,TRUE,TRUE
"North Macedonia",7,40,TRUE,FALSE,FALSE
"Norway",7,1425,TRUE,TRUE,TRUE
"Oman",7,365,TRUE,TRUE,TRUE
"Pakistan",7,1895,TRUE,TRUE,TRUE
"Palau",1,5,FALSE,FALSE,FALSE
"Palestinian, State of",7,45,TRUE,FALSE,FALSE
"Panama",7,10,TRUE,FALSE,FALSE
"Papua New Guinea",6,5,FALSE,FALSE,FALSE
"Paraguay",6,5,FALSE,FALSE,FALSE
"Peru",7,60,TRUE,FALSE,FALSE
"Philippines",7,130,TRUE,TRUE,TRUE
"Poland",7,2595,TRUE,TRUE,TRUE
"Portugal",7,990,TRUE,TRUE,TRUE
"Qatar",7,540,TRUE,TRUE,TRUE
"Romania",7,2780,TRUE,TRUE,TRUE
"Russian Federation",7,795,TRUE,TRUE,TRUE
"Rwanda",7,20,TRUE,FALSE,FALSE
"Saint Vincent and the Grenadines",7,10,TRUE,FALSE,FALSE
"San Marino",1,5,FALSE,FALSE,FALSE
"Sao Tome and Principe",1,5,FALSE,FALSE,FALSE
"Saudi Arabia",7,1100,TRUE,TRUE,TRUE
"Senegal",7,25,TRUE,FALSE,FALSE
"Serbia",7,95,TRUE,FALSE,FALSE
"Seychelles",7,30,TRUE,FALSE,FALSE
"Sierra Leone",7,25,TRUE,FALSE,FALSE
"Singapore",7,3505,TRUE,TRUE,TRUE
"Slovakia",7,600,TRUE,TRUE,TRUE
"Slovenia",7,125,TRUE,TRUE,TRUE
"Somalia",6,5,FALSE,FALSE,FALSE
"South Africa",7,340,TRUE,TRUE,TRUE
"South Sudan",7,5,TRUE,FALSE,FALSE
"Spain",7,2535,TRUE,TRUE,TRUE
"Sri Lanka",7,250,TRUE,TRUE,TRUE
"St Lucia",7,20,TRUE,FALSE,FALSE
"St. Kitts-Nevis",7,5,TRUE,FALSE,FALSE
"Sudan",7,50,TRUE,FALSE,FALSE
"Sweden",7,1185,TRUE,TRUE,TRUE
"Switzerland",7,1155,TRUE,TRUE,TRUE
"Syrian Arab Republic (Syria)",7,30,TRUE,FALSE,FALSE
"Taiwan",7,360,TRUE,TRUE,TRUE
"Tajikistan",7,5,TRUE,FALSE,FALSE
"Tanzania, United Republic of",7,145,TRUE,TRUE,TRUE
"Thailand",7,845,TRUE,TRUE,TRUE
"Togo",7,5,TRUE,FALSE,FALSE
"Trinidad and Tobago",7,170,TRUE,TRUE,TRUE
"Tunisia",7,40,TRUE,FALSE,FALSE
"Turkey",7,635,TRUE,TRUE,TRUE
"Turkmenistan",7,5,TRUE,FALSE,FALSE
"Uganda",7,140,TRUE,TRUE,TRUE
"Ukraine",7,230,TRUE,TRUE,TRUE
"United Arab Emirates",7,1350,TRUE,TRUE,TRUE
"United States of America",7,3895,TRUE,TRUE,TRUE
"Uruguay",7,5,TRUE,FALSE,FALSE
"Uzbekistan",7,45,TRUE,FALSE,FALSE
"Vanuatu",1,5,FALSE,FALSE,FALSE
"Venezuela (Bolivarian Republic of)",7,40,TRUE,FALSE,FALSE
"Vietnam [Viet Nam]",7,410,TRUE,TRUE,TRUE
"Yemen",7,5,TRUE,FALSE,FALSE
"Zambia",7,155,TRUE,TRUE,TRUE
"Zimbabwe",7,435,TRUE,TRUE,TRUE
