"Country","eta_neutral","eta_insignificant","eta_min","eta_max","eta_midpoint"
"Estonia",-27.791985860281,-1.39758083809894,-27.791985860281,-1.39758083809894,-14.59478334919
"Latvia",-22.0940416347042,-1.49686201300059,-22.0940416347042,-1.49686201300059,-11.7954518238524
"Slovakia",-10.1598111278527,-1.21576862103849,-10.1598111278527,-1.21576862103849,-5.68778987444558
"Bulgaria",-9.58233623503408,-1.57026529675924,-9.58233623503408,-1.57026529675924,-5.57630076589666
"Croatia",-8.75635556106573,-1.69050835415839,-8.75635556106573,-1.69050835415839,-5.22343195761206
"Romania",-6.00801822961718,-1.99363368929927,-6.00801822961718,-1.99363368929927,-4.00082595945823
"Lithuania",-4.96484637813753,-2.5778141621046,-4.96484637813753,-2.5778141621046,-3.77133027012106
"Cyprus",-5.96282944215054,-0.963276105856739,-5.96282944215054,-0.963276105856739,-3.46305277400364
"Portugal",-5.690844694295,-0.676622464252111,-5.690844694295,-0.676622464252111,-3.18373357927356
"Czechia",-4.98820911828665,-1.20118997704923,-4.98820911828665,-1.20118997704923,-3.09469954766794
"Finland",-2.57775769335156,-1.89226756632281,-2.57775769335156,-1.89226756632281,-2.23501262983719
"Slovenia",-2.37001734003367,-1.34327009991218,-2.37001734003367,-1.34327009991218,-1.85664371997293
"Hungary",-2.18728493606328,-0.65200494341114,-2.18728493606328,-0.65200494341114,-1.41964493973721
"Italy",-1.77328852730314,-0.91120235219247,-1.77328852730314,-0.91120235219247,-1.3422454397478
"Denmark",-1.43370053364466,-1.20623452685398,-1.43370053364466,-1.20623452685398,-1.31996753024932
"Sweden",-1.5311656950874,-1.06827629468115,-1.5311656950874,-1.06827629468115,-1.29972099488428
"Malta",-1.15135531729836,-0.590655936225452,-1.15135531729836,-0.590655936225452,-0.871005626761906
"Germany",-0.890798268709094,-0.68874906414337,-0.890798268709094,-0.68874906414337,-0.789773666426232
"Spain",-1.0311591515221,-0.536308074021903,-1.0311591515221,-0.536308074021903,-0.783733612772003
"France",-0.934478593793981,-0.609496101508141,-0.934478593793981,-0.609496101508141,-0.771987347651061
"Belgium",-0.83162793119705,-0.676598929084075,-0.83162793119705,-0.676598929084075,-0.754113430140562
"Luxembourg",-0.760272610292245,-0.671773159101179,-0.760272610292245,-0.671773159101179,-0.716022884696712
"Austria",-0.734796425521456,-0.593671060764848,-0.734796425521456,-0.593671060764848,-0.664233743143152
"Greece",-0.383047850756703,-0.216274664403405,-0.383047850756703,-0.216274664403405,-0.299661257580054
"Poland",194305.879130826,-1.54937207531174,-1.54937207531174,194305.879130826,97152.1648793756
