"rho","correlation","lo","hi"
0.01,0.468077873542455,0.287319922766832,0.73881217358443
0.015,0.531096773782427,0.294425779965671,0.765969265710682
0.02,0.537346203388212,0.273357900687859,0.771736720131165
0.025,0.521745114329588,0.232556134001115,0.767664845366529
0.03,0.495966471025535,0.193803531423454,0.74513577885343
0.035,0.465461583321055,0.155366182830962,0.72266477439017
0.04,0.433160921885562,0.118030237918716,0.699158083507998
0.045,0.400726975507283,NA,NA
0.05,0.369108991949138,0.0437357086824789,0.646293035271788
0.055,0.338832520433553,0.0135323920189893,0.619995727610042
0.06,0.310165399195418,NA,NA
0.065,0.283217860895385,-0.0418349252024119,0.573636781968473
0.07,0.258004530057987,NA,NA
0.075,0.234483326424766,-0.0927771000941556,0.525818961605876
0.08,0.212579996931561,-0.115420922945637,0.505655260431891
0.085,0.192203565890008,NA,NA
0.09,0.173255994169596,-0.149009558301984,0.466142280008248
0.095,0.155638127566916,-0.164737320375472,0.449096155714807
0.1,0.139253263226031,NA,NA
0.105,0.124009189248869,-0.194461394145004,0.415669811227187
0.11,0.109819250609732,-0.209091599996483,0.401309387641522
0.115,0.096602800315895,NA,NA
0.12,0.0842852690931965,-0.233086375451743,0.375402652995214
0.125,0.0727980051139078,-0.24262867318142,0.363121995592276
0.13,0.0620779818618995,-0.251763609085359,0.351212702882607
0.135,0.0520674372178645,-0.265401907441286,0.339444288683992
0.14,0.0427134838609127,-0.271865852389001,0.329350579751625
0.145,0.0339677159896165,NA,NA
0.15,0.0257858274737531,NA,NA
0.155,0.0181272500941162,-0.3000657903294,0.304619689818677
0.16,0.0109548163509741,-0.308064336884163,0.297954271190348
0.165,0.00423444865404172,-0.314775088473741,0.291257465754112
0.17,-0.00206512496151559,-0.322332333070685,0.285806709363785
0.175,-0.00797262945723614,NA,NA
0.18,-0.0135144771914073,NA,NA
0.185,-0.0187149798307107,NA,NA
0.19,-0.0235965396206213,-0.343733651842998,0.268579132493418
0.195,-0.0281798218622044,-0.349202746269205,0.265181500095322
0.2,-0.0324839103752007,-0.353807811536483,0.260904681125626
0.205,-0.0365264476208943,NA,NA
0.21,-0.0403237610324814,NA,NA
0.215,-0.0438909769679144,NA,NA
0.22,-0.047242123568176,-0.367902737721119,0.243950400836941
0.225,-0.0503902236773873,-0.370629418844809,0.240221750779354
0.23,-0.0533473788626033,-0.373271890139137,0.237420064129485
0.235,-0.0561248454619611,NA,NA
0.24,-0.0587331034903556,NA,NA
0.245,-0.0611819191419836,NA,NA
0.25,-0.063480401548437,-0.383823775197399,0.227949888181568
0.255,-0.0656370543789123,-0.386088371251343,0.226012496569272
0.26,-0.0676598228048814,-0.38733709910391,0.224487596120639
0.265,-0.0695561362944597,-0.387933723701981,0.222708847593822
0.27,-0.0713329476510398,-0.389569330866749,0.221360962115419
0.275,-0.0729967686658132,-0.391108844166355,0.220017129718042
0.28,-0.0745537027140045,-0.39255747985546,0.218034838226438
0.285,-0.076009474589356,NA,NA
0.29,-0.0773694578401643,NA,NA
0.295,-0.0786386998424536,NA,NA
0.3,-0.0798219448213295,-0.397215183589524,0.213686585296304
0.305,-0.080923655009752,-0.397803824995278,0.212254976596859
0.31,-0.081948030114623,-0.398329254474024,0.211404753383011
0.315,-0.0828990252428765,-0.398798389190482,0.210628076291531
0.32,-0.0837803674249763,-0.399214363894875,0.209921161035316
0.325,-0.0845955708595805,-0.399580118428646,0.209280425993607
0.33,-0.0853479509910004,-0.399898412008504,0.20870248049057
0.335,-0.0860406375202474,-0.400171836286503,0.208840000065912
0.34,-0.0866765864407564,-0.400402827306483,0.209204666205934
0.345,-0.0872585911812377,NA,NA
0.35,-0.0877892929303386,NA,NA
0.355,-0.0882711902108435,NA,NA
0.36,-0.0887066477649088,NA,NA
0.365,-0.0890979048062151,-0.401900327140178,0.211536257839454
0.37,-0.0894470826898715,-0.402234994270454,0.212098504416606
0.375,-0.0897561920463776,-0.402534655444462,0.212670262785702
0.38,-0.0900271394218382,-0.402799757409328,0.212420839817808
0.385,-0.0902617334629371,-0.403032334845792,0.212206601166258
0.39,-0.0904616906818367,-0.40323473796041,0.212025928733994
0.395,-0.0906286408331486,-0.403408411414247,0.212500135165608
0.4,-0.0907641319323815,-0.403276704366182,0.213070210007697
