"country","beta_saturated_twfe","beta_synthetic_did","difference"
"Lithuania",-2.1731071022163,-2.26412557468939,0.0910184724730896
"Bulgaria",-1.88714028053297,-1.93012498597276,0.0429847054397834
"Finland",-1.75634080420609,-1.77311137541922,0.0167705712131314
"Romania",-1.71142660425998,-1.91011981686582,0.198693212605843
"Poland",-1.66827531130462,-1.97129387446007,0.303018563155443
"Croatia",-1.65473875502575,-1.80284221997266,0.148103464946915
"Slovakia",-1.51631980729154,-1.87249332158715,0.356173514295611
"Latvia",-1.51151031782695,-1.74317058352829,0.231660265701338
"Estonia",-1.44743856438974,-1.54665625894907,0.0992176945593315
"Slovenia",-1.27954849138055,-1.31754965376163,0.0380011623810703
"Czech Republic",-1.13719553654041,-1.41118129891154,0.273985762371129
"Hungary",-1.11446172081908,-1.37925384746443,0.264792126645349
"Denmark",-1.0464974377475,-1.14486178282215,0.0983643450746494
"Sweden",-0.966842771143045,-1.04799357992998,0.0811508087869371
"Portugal",-0.939163094176183,-1.35751663272506,0.418353538548873
"Italy",-0.925030716865115,-1.00210216282319,0.0770714459580751
"Cyprus (European Union)",-0.902156900287866,-0.968551357035166,0.0663944567473003
"Greece",-0.865743632479564,-1.00984674813387,0.144103115654308
"Germany",-0.681494404474159,-0.778509446977874,0.0970150425037147
"Belgium",-0.602651188717814,-0.715235597749042,0.112584409031228
"France",-0.59709956840557,-0.753692350305111,0.156592781899541
"Austria",-0.548528315292826,-0.640071256899825,0.0915429416069987
"Netherlands",-0.534966490387353,-0.688039288715827,0.153072798328475
"Spain",-0.507694623110317,-0.82933343762103,0.321638814510713
"Luxembourg",-0.492889178451346,-0.623044182249367,0.130155003798022
"Malta",-0.361672972880734,-0.584659082496152,0.222986109615418
