"covariate","rho","correlation","lo","hi"
"Educ_spend_gdp",0.01,0.223574115076653,-0.0620533549544459,0.478619362674793
"Educ_spend_gdp",0.015,0.248339074265807,-0.0843551143815499,0.525519570775497
"Educ_spend_gdp",0.02,0.243999085990113,-0.117028449689068,0.542765180963867
"Educ_spend_gdp",0.025,0.226110822723607,-0.148553732185719,0.547013894628944
"Educ_spend_gdp",0.03,0.201558966423441,-0.183095459588997,0.534816001432085
"Educ_spend_gdp",0.035,0.174040231246616,-0.224226329040023,0.519149908570736
"Educ_spend_gdp",0.04,0.145671650691378,-0.262399109315303,0.504223011634267
"Educ_spend_gdp",0.045,0.117677939533461,NA,NA
"Educ_spend_gdp",0.05,0.0907504080375071,-0.334079695760175,0.466641843753022
"Educ_spend_gdp",0.055,0.0652546357321836,-0.371522647176413,0.449596447568361
"Educ_spend_gdp",0.06,0.0413567047455643,NA,NA
"Educ_spend_gdp",0.065,0.0191016713032241,-0.415211936915898,0.41520164490123
"Educ_spend_gdp",0.07,-0.00153720771663813,NA,NA
"Educ_spend_gdp",0.075,-0.020627540836469,-0.455147462726187,0.388803645154602
"Educ_spend_gdp",0.08,-0.038258432499291,-0.468855253074841,0.37564865451581
"Educ_spend_gdp",0.085,-0.0545284632860239,NA,NA
"Educ_spend_gdp",0.09,-0.0695383511256453,-0.505483785661948,0.345873417876282
"Educ_spend_gdp",0.095,-0.0833865927381829,-0.520030745700905,0.332587374789426
"Educ_spend_gdp",0.1,-0.096166996738801,NA,NA
"Educ_spend_gdp",0.105,-0.107967409637943,-0.540590374949118,0.315450885106491
"Educ_spend_gdp",0.11,-0.118869185463086,-0.550017916409754,0.30791505439999
"Educ_spend_gdp",0.115,-0.128947110098423,NA,NA
"Educ_spend_gdp",0.12,-0.138269594899746,-0.566791682551921,0.288619104769041
"Educ_spend_gdp",0.125,-0.146899021083341,-0.57327292452304,0.281892420733138
"Educ_spend_gdp",0.13,-0.154892159787435,-0.580604369329713,0.277628603620982
"Educ_spend_gdp",0.135,-0.162300620864192,-0.587519121050814,0.27265422907359
"Educ_spend_gdp",0.14,-0.169171301716204,-0.590996399636651,0.266061058570186
"Educ_spend_gdp",0.145,-0.17554681929154,NA,NA
"Educ_spend_gdp",0.15,-0.181465915933229,NA,NA
"Educ_spend_gdp",0.155,-0.186963834601041,-0.610540923920834,0.248601389415621
"Educ_spend_gdp",0.16,-0.192072662000172,-0.613522711797046,0.244060889825265
"Educ_spend_gdp",0.165,-0.196821639989447,-0.615992302940613,0.240358813740683
"Educ_spend_gdp",0.17,-0.201237446713522,-0.618560244275656,0.238006243897663
"Educ_spend_gdp",0.175,-0.205344449481108,NA,NA
"Educ_spend_gdp",0.18,-0.209164931673837,NA,NA
"Educ_spend_gdp",0.185,-0.212719296036169,NA,NA
"Educ_spend_gdp",0.19,-0.216026246643167,-0.626456939504213,0.225376292552852
"Educ_spend_gdp",0.195,-0.219102951720879,-0.627016733892822,0.224332651888118
"Educ_spend_gdp",0.2,-0.221965189335929,-0.628226069760101,0.222251408303017
"Educ_spend_gdp",0.205,-0.224627477797867,NA,NA
"Educ_spend_gdp",0.21,-0.227103192442698,NA,NA
"Educ_spend_gdp",0.215,-0.229404670296712,NA,NA
"Educ_spend_gdp",0.22,-0.2315433039606,-0.631871348598916,0.216575069937814
"Educ_spend_gdp",0.225,-0.233529625907209,-0.633800773852488,0.215285576919517
"Educ_spend_gdp",0.23,-0.235373384252872,-0.635580445081991,0.21411565685769
"Educ_spend_gdp",0.235,-0.237083610942037,NA,NA
"Educ_spend_gdp",0.24,-0.238668683177417,NA,NA
"Educ_spend_gdp",0.245,-0.240136378832112,NA,NA
"Educ_spend_gdp",0.25,-0.241493926495261,-0.640700807551287,0.210536099267109
"Educ_spend_gdp",0.255,-0.242748050727671,-0.642005551401116,0.209529648175516
"Educ_spend_gdp",0.26,-0.243905013037521,-0.643205865301956,0.207557556882315
"Educ_spend_gdp",0.265,-0.244970649027784,-0.644300996042986,0.206579329338895
"Educ_spend_gdp",0.27,-0.245950402115459,-0.6449747303037,0.206680282424448
"Educ_spend_gdp",0.275,-0.246849354177303,-0.645392871574123,0.205556026044958
"Educ_spend_gdp",0.28,-0.247672253436783,-0.645752037093091,0.204367301876164
"Educ_spend_gdp",0.285,-0.248423539871761,NA,NA
"Educ_spend_gdp",0.29,-0.249107368391373,NA,NA
"Educ_spend_gdp",0.295,-0.249727630003217,NA,NA
"Educ_spend_gdp",0.3,-0.250287971167849,-0.646671901021668,0.200529607298124
